10th_score,12th_score,UG_score,Interests,Skills,Recommended_Career
87.34,69.01,7.96,Cybersecurity,"Cryptography, Network Security, Wireshark, Firewalls, Ethical Hacking",Cybersecurity Analyst
88.25,73.19,7.75,Design,"UI/UX, Figma, Creativity",UX/UI Designer
66.73,86.51,9.38,Web Development,"React, CSS, Node.js",Web Developer
68.58,81.81,7.6,Software Development,"Git, C++, Spring Boot",Software Developer
64.72,90.97,7.55,Cybersecurity,"Network Security, Firewalls, Wireshark, Linux, Cryptography",Cybersecurity Analyst
66.71,94.39,6.18,Cybersecurity,"Network Security, Wireshark, Firewalls, Cryptography",Cybersecurity Analyst
84.03,83.59,7.49,Design,"Figma, UI/UX, Sketch, Photoshop",UX/UI Designer
70.47,90.22,8.97,Design,"Photoshop, Adobe XD",UX/UI Designer
92.51,83.76,8.85,Cloud Computing,"AWS, Kubernetes",Cloud Engineer
77.7,64.53,8.89,Software Development,"C++, Spring Boot, OOP",Software Developer
70.27,66.53,6.91,AI/ML,"Scikit-learn, Python, NLP",Machine Learning Engineer
66.34,92.63,6.18,Web Development,"CSS, React, JavaScript",Web Developer
61.34,65.77,6.84,AI/ML,"TensorFlow, Deep Learning, Scikit-learn",Machine Learning Engineer
90.67,93.32,7.91,Cybersecurity,"Linux, Ethical Hacking, Network Security",Cybersecurity Analyst
87.79,68.2,7.01,Design,"Photoshop, Figma, UI/UX, Adobe XD, Creativity",UX/UI Designer
70.53,83.97,9.28,Design,"UI/UX, Figma",UX/UI Designer
73.51,90.22,8.72,Web Development,"Bootstrap, CSS",Web Developer
68.67,86.06,8.11,Cybersecurity,"Linux, Network Security",Cybersecurity Analyst
60.35,78.26,7.57,Web Development,"Bootstrap, CSS, JavaScript, HTML",Web Developer
92.8,75.34,7.72,Cybersecurity,"Network Security, Cryptography",Cybersecurity Analyst
78.27,85.46,6.86,Design,"UI/UX, Photoshop",UX/UI Designer
64.67,68.95,8.52,Cybersecurity,"Linux, Network Security, Cryptography",Cybersecurity Analyst
61.47,61.93,8.51,Data Science,"Python, Machine Learning, SQL, Pandas",Data Scientist
80.13,77.73,6.38,AI/ML,"Python, NLP, TensorFlow",Machine Learning Engineer
92.68,77.1,6.55,Data Science,"Pandas, SQL",Data Scientist
87.52,74.96,6.75,Web Development,"JavaScript, Node.js, Bootstrap, HTML, CSS",Web Developer
84.33,76.91,9.22,AI/ML,"Deep Learning, Python",Machine Learning Engineer
69.93,62.95,7.4,Design,"Figma, UI/UX, Creativity",UX/UI Designer
60.36,80.44,6.97,AI/ML,"Scikit-learn, NLP, TensorFlow, Python",Machine Learning Engineer
83.08,75.41,8.39,Software Development,"OOP, C++",Software Developer
66.99,68.64,6.95,AI/ML,"TensorFlow, NLP",Machine Learning Engineer
84.03,81.96,6.8,Web Development,"Bootstrap, JavaScript, HTML, React",Web Developer
82.59,68.02,7.19,Cloud Computing,"Terraform, Docker, Kubernetes, DevOps, AWS",Cloud Engineer
65.49,75.67,6.81,Web Development,"Node.js, HTML, React, JavaScript",Web Developer
80.92,68.75,6.92,Web Development,"HTML, Node.js, CSS",Web Developer
91.86,66.81,7.96,Cloud Computing,"Docker, Terraform, AWS, Azure, Kubernetes",Cloud Engineer
74.44,71.23,7.18,Cloud Computing,"Azure, AWS, DevOps",Cloud Engineer
81.15,64.45,6.68,Data Science,"Machine Learning, SQL, Pandas, NumPy",Data Scientist
62.85,92.71,6.54,Web Development,"React, HTML",Web Developer
85.01,80.4,7.55,Cybersecurity,"Ethical Hacking, Firewalls",Cybersecurity Analyst
76.88,86.8,6.01,Design,"Adobe XD, Figma, Creativity",UX/UI Designer
73.68,60.63,8.51,Cybersecurity,"Ethical Hacking, Wireshark, Firewalls, Network Security, Cryptography",Cybersecurity Analyst
86.79,65.51,7.87,Cloud Computing,"Kubernetes, AWS, Terraform",Cloud Engineer
64.42,65.22,8.74,Design,"UI/UX, Creativity",UX/UI Designer
74.85,79.86,8.94,AI/ML,"Python, Scikit-learn",Machine Learning Engineer
89.55,68.54,9.41,Cloud Computing,"Azure, Kubernetes",Cloud Engineer
80.93,85.36,8.87,Web Development,"HTML, Bootstrap, CSS, React",Web Developer
65.74,76.44,6.62,Design,"UI/UX, Creativity, Figma, Sketch",UX/UI Designer
89.53,69.8,9.48,Data Science,"Python, NumPy, SQL, Machine Learning",Data Scientist
92.91,64.16,6.78,Design,"Photoshop, Figma, UI/UX, Sketch",UX/UI Designer
61.29,89.33,8.22,Software Development,"Git, Problem Solving",Software Developer
64.11,91.34,7.78,Cybersecurity,"Wireshark, Ethical Hacking, Linux, Network Security, Firewalls",Cybersecurity Analyst
84.44,66.72,9.39,Design,"Sketch, Creativity",UX/UI Designer
74.25,75.99,7.21,Cybersecurity,"Ethical Hacking, Wireshark, Network Security, Linux",Cybersecurity Analyst
85.22,67.29,7.11,AI/ML,"Deep Learning, TensorFlow, Python, NLP",Machine Learning Engineer
74.23,89.96,6.35,AI/ML,"Python, Scikit-learn, TensorFlow, Deep Learning, NLP",Machine Learning Engineer
79.87,64.3,7.96,AI/ML,"Keras, Scikit-learn",Machine Learning Engineer
66.51,72.71,7.91,Cybersecurity,"Firewalls, Linux, Network Security, Cryptography",Cybersecurity Analyst
86.58,87.44,7.69,AI/ML,"Keras, Scikit-learn, NLP",Machine Learning Engineer
90.71,74.75,6.39,Web Development,"Bootstrap, React, CSS, JavaScript, HTML",Web Developer
94.67,72.07,6.77,Cloud Computing,"Kubernetes, Terraform, Azure, AWS",Cloud Engineer
78.11,84.27,8.13,Web Development,"JavaScript, HTML",Web Developer
62.33,77.12,6.8,AI/ML,"NLP, Python, Keras, Scikit-learn, TensorFlow",Machine Learning Engineer
73.93,80.23,7.36,Cybersecurity,"Ethical Hacking, Linux, Firewalls, Network Security",Cybersecurity Analyst
81.27,92.87,8.96,Design,"Photoshop, UI/UX, Figma, Creativity, Adobe XD",UX/UI Designer
66.24,79.83,6.16,Design,"Creativity, Figma, Photoshop",UX/UI Designer
92.63,80.37,7.02,Cybersecurity,"Wireshark, Network Security, Cryptography, Firewalls, Ethical Hacking",Cybersecurity Analyst
70.81,86.01,7.45,Cybersecurity,"Firewalls, Network Security",Cybersecurity Analyst
74.85,88.83,8.19,Design,"Figma, Adobe XD, Sketch, UI/UX",UX/UI Designer
63.04,70.33,7.93,Cybersecurity,"Linux, Wireshark",Cybersecurity Analyst
90.31,75.41,7.24,AI/ML,"Python, Deep Learning, Scikit-learn, NLP",Machine Learning Engineer
94.85,92.34,6.83,Web Development,"Node.js, CSS, HTML, Bootstrap",Web Developer
72.46,72.21,6.72,Cloud Computing,"AWS, Kubernetes, Azure, DevOps, Terraform",Cloud Engineer
84.0,61.83,6.74,Software Development,"OOP, Java, Git, C++",Software Developer
76.88,69.82,7.02,Data Science,"Data Analysis, SQL, Machine Learning",Data Scientist
90.47,60.72,6.03,Web Development,"HTML, CSS",Web Developer
85.44,91.68,6.36,Cybersecurity,"Firewalls, Wireshark",Cybersecurity Analyst
73.26,87.87,8.6,Software Development,"Java, OOP, Spring Boot",Software Developer
94.52,87.24,9.15,Cybersecurity,"Linux, Ethical Hacking, Network Security, Firewalls, Cryptography",Cybersecurity Analyst
88.21,75.22,6.5,Web Development,"React, Node.js",Web Developer
92.36,62.7,6.39,Web Development,"JavaScript, Node.js, CSS, HTML, Bootstrap",Web Developer
78.38,93.32,7.06,Cloud Computing,"DevOps, Terraform, Kubernetes, Docker, AWS",Cloud Engineer
70.19,91.61,8.36,Software Development,"Problem Solving, OOP, Spring Boot, Git, Java",Software Developer
84.1,63.11,6.57,Web Development,"Bootstrap, Node.js",Web Developer
77.66,84.14,8.12,Cloud Computing,"Kubernetes, AWS",Cloud Engineer
91.13,69.66,6.17,Web Development,"Node.js, Bootstrap, React, HTML, CSS",Web Developer
60.36,70.58,9.2,Data Science,"Machine Learning, Python, Data Analysis, SQL, Pandas",Data Scientist
71.73,84.86,8.35,AI/ML,"NLP, Scikit-learn, Python",Machine Learning Engineer
77.0,82.92,7.99,Software Development,"Git, Java",Software Developer
70.35,63.43,8.88,Data Science,"Pandas, Data Analysis, Python, SQL, Machine Learning",Data Scientist
84.58,70.46,7.43,Cybersecurity,"Firewalls, Network Security, Ethical Hacking",Cybersecurity Analyst
67.25,83.18,8.72,Software Development,"C++, OOP",Software Developer
93.54,77.59,6.36,Data Science,"Pandas, Machine Learning, Data Analysis",Data Scientist
68.19,91.98,6.42,Design,"UI/UX, Sketch",UX/UI Designer
85.16,71.09,7.07,Cloud Computing,"AWS, Terraform",Cloud Engineer
77.44,82.57,8.88,AI/ML,"Scikit-learn, Keras, TensorFlow",Machine Learning Engineer
86.73,68.82,8.91,Software Development,"OOP, Java",Software Developer
88.75,78.36,6.22,Cybersecurity,"Network Security, Ethical Hacking",Cybersecurity Analyst
73.46,87.1,9.31,Web Development,"Node.js, Bootstrap",Web Developer
68.0,93.1,7.9,Data Science,"Python, NumPy, Data Analysis",Data Scientist
61.42,64.68,6.99,Cloud Computing,"DevOps, AWS, Docker, Kubernetes",Cloud Engineer
94.99,82.86,8.59,AI/ML,"NLP, Keras",Machine Learning Engineer
67.88,94.65,8.93,Design,"Creativity, UI/UX",UX/UI Designer
83.22,79.46,7.85,Data Science,"Data Analysis, NumPy, Pandas",Data Scientist
83.29,75.45,7.73,Web Development,"JavaScript, React, HTML, CSS",Web Developer
74.71,88.5,8.39,Web Development,"CSS, Node.js",Web Developer
88.78,86.36,7.2,Web Development,"React, CSS, JavaScript",Web Developer
61.19,79.93,8.38,Cybersecurity,"Ethical Hacking, Network Security",Cybersecurity Analyst
68.26,91.36,6.42,Cloud Computing,"AWS, Azure, DevOps, Terraform, Kubernetes",Cloud Engineer
74.57,71.57,9.3,Design,"Creativity, Photoshop, UI/UX, Adobe XD",UX/UI Designer
90.86,62.17,7.21,Design,"Sketch, Figma, Adobe XD",UX/UI Designer
74.29,91.74,7.06,Design,"Creativity, Figma, Photoshop",UX/UI Designer
65.76,68.39,7.25,Design,"UI/UX, Photoshop, Sketch",UX/UI Designer
80.87,70.59,6.71,AI/ML,"Deep Learning, TensorFlow, NLP, Scikit-learn",Machine Learning Engineer
66.0,85.05,6.2,Design,"Sketch, Figma, Photoshop, Adobe XD",UX/UI Designer
65.97,82.8,8.97,Design,"UI/UX, Figma, Photoshop",UX/UI Designer
61.18,76.94,7.94,Software Development,"Spring Boot, OOP, Git",Software Developer
78.33,81.41,6.49,AI/ML,"Deep Learning, Scikit-learn, Python, Keras, NLP",Machine Learning Engineer
90.65,60.22,9.4,Data Science,"Pandas, Machine Learning, Data Analysis",Data Scientist
64.01,69.33,9.27,AI/ML,"NLP, TensorFlow, Python, Deep Learning",Machine Learning Engineer
64.46,84.45,6.46,Cybersecurity,"Firewalls, Ethical Hacking",Cybersecurity Analyst
71.93,79.32,8.86,Cybersecurity,"Firewalls, Network Security, Linux, Wireshark, Ethical Hacking",Cybersecurity Analyst
83.81,89.1,6.4,Cloud Computing,"AWS, Kubernetes, DevOps",Cloud Engineer
62.3,80.69,8.03,Design,"Figma, Adobe XD, Sketch",UX/UI Designer
83.65,83.81,6.47,AI/ML,"Python, TensorFlow, NLP, Keras, Deep Learning",Machine Learning Engineer
67.25,62.52,7.32,AI/ML,"Keras, TensorFlow, NLP, Deep Learning, Scikit-learn",Machine Learning Engineer
82.12,81.04,8.53,Design,"UI/UX, Creativity",UX/UI Designer
86.95,61.36,9.47,Web Development,"CSS, HTML, Node.js, Bootstrap",Web Developer
72.18,70.71,7.56,Cybersecurity,"Wireshark, Linux, Network Security, Ethical Hacking",Cybersecurity Analyst
61.61,76.02,9.14,Data Science,"SQL, Python, Machine Learning, Data Analysis, NumPy",Data Scientist
61.31,70.83,7.5,Cloud Computing,"AWS, Docker, Kubernetes, Azure",Cloud Engineer
73.94,70.03,6.32,Cybersecurity,"Wireshark, Linux",Cybersecurity Analyst
81.85,60.57,8.87,Design,"Adobe XD, Photoshop",UX/UI Designer
93.14,72.7,7.87,Cloud Computing,"Terraform, DevOps, Kubernetes, Docker",Cloud Engineer
60.31,82.99,9.4,AI/ML,"Python, Scikit-learn, Keras, Deep Learning",Machine Learning Engineer
91.28,86.37,9.26,Cloud Computing,"Docker, Azure, DevOps, AWS, Terraform",Cloud Engineer
90.84,92.61,6.1,AI/ML,"NLP, Deep Learning, TensorFlow, Python",Machine Learning Engineer
83.27,88.85,7.02,Data Science,"Pandas, Python, Machine Learning, SQL",Data Scientist
63.92,74.31,8.77,Data Science,"Data Analysis, Machine Learning, SQL, NumPy",Data Scientist
69.13,68.0,6.72,Design,"UI/UX, Creativity, Figma",UX/UI Designer
80.57,82.52,6.43,Design,"Photoshop, Sketch, Figma, Creativity, Adobe XD",UX/UI Designer
82.0,71.76,7.41,Software Development,"C++, Spring Boot, Problem Solving, Git, OOP",Software Developer
67.12,80.86,6.11,Design,"Adobe XD, Creativity, UI/UX, Figma",UX/UI Designer
73.73,88.42,8.17,Data Science,"Pandas, Data Analysis, Machine Learning, NumPy, Python",Data Scientist
61.68,89.98,9.06,Cloud Computing,"DevOps, Azure, Terraform, AWS",Cloud Engineer
78.92,88.1,8.23,Cloud Computing,"Kubernetes, DevOps, Azure",Cloud Engineer
75.95,64.18,6.02,Design,"Creativity, Sketch, Photoshop, UI/UX",UX/UI Designer
71.77,64.01,6.14,AI/ML,"Keras, TensorFlow",Machine Learning Engineer
87.0,90.92,8.89,Software Development,"Problem Solving, Java, Spring Boot, C++",Software Developer
67.36,76.36,6.57,Design,"Photoshop, Adobe XD",UX/UI Designer
93.62,74.46,7.6,AI/ML,"Keras, Scikit-learn, Deep Learning",Machine Learning Engineer
65.86,85.22,7.69,Cloud Computing,"Kubernetes, Terraform, Docker",Cloud Engineer
75.92,61.88,8.99,Web Development,"HTML, JavaScript, Node.js, Bootstrap, CSS",Web Developer
75.36,72.24,6.23,Cybersecurity,"Ethical Hacking, Linux, Firewalls",Cybersecurity Analyst
81.44,82.89,8.58,Cybersecurity,"Cryptography, Ethical Hacking",Cybersecurity Analyst
82.99,76.04,6.91,Design,"Sketch, Creativity, Figma, UI/UX",UX/UI Designer
92.02,64.06,8.32,AI/ML,"NLP, Python, Deep Learning, Scikit-learn, Keras",Machine Learning Engineer
93.29,69.25,7.74,Design,"Sketch, Figma, Creativity, UI/UX",UX/UI Designer
92.68,77.88,7.44,Data Science,"Python, NumPy, Machine Learning",Data Scientist
90.57,94.1,8.94,Design,"Adobe XD, Figma",UX/UI Designer
64.06,85.83,6.5,Web Development,"Node.js, JavaScript, CSS, HTML, Bootstrap",Web Developer
64.08,81.77,7.18,Cloud Computing,"Terraform, Kubernetes, Azure",Cloud Engineer
82.3,64.27,7.14,Data Science,"Pandas, SQL",Data Scientist
61.5,75.25,6.05,Data Science,"Data Analysis, Machine Learning, NumPy, SQL",Data Scientist
86.85,74.76,6.81,Cloud Computing,"Docker, Terraform, AWS, Kubernetes, Azure",Cloud Engineer
62.65,88.38,6.55,Cloud Computing,"DevOps, AWS, Terraform, Azure",Cloud Engineer
76.73,62.53,7.05,Cloud Computing,"DevOps, Docker",Cloud Engineer
82.91,90.99,6.7,Web Development,"JavaScript, Node.js, HTML",Web Developer
87.47,69.48,7.41,AI/ML,"Python, Keras",Machine Learning Engineer
77.81,83.3,6.35,Cloud Computing,"DevOps, AWS",Cloud Engineer
80.0,71.65,6.48,AI/ML,"NLP, Python, Deep Learning, Scikit-learn, TensorFlow",Machine Learning Engineer
83.79,79.9,8.99,Data Science,"Pandas, Machine Learning",Data Scientist
73.55,91.36,7.05,Web Development,"HTML, Node.js, Bootstrap, React",Web Developer
68.44,67.26,9.33,AI/ML,"NLP, Scikit-learn, Keras",Machine Learning Engineer
80.24,73.06,7.73,Web Development,"HTML, CSS, Bootstrap",Web Developer
85.5,73.95,7.66,Web Development,"HTML, JavaScript, Node.js, CSS, React",Web Developer
86.31,61.44,9.12,Data Science,"SQL, Pandas, Machine Learning, Python",Data Scientist
80.85,64.76,7.66,Design,"Figma, Photoshop, Creativity",UX/UI Designer
93.07,66.21,6.92,Software Development,"C++, Java",Software Developer
88.85,86.61,6.68,Cybersecurity,"Wireshark, Linux, Cryptography",Cybersecurity Analyst
79.97,87.95,8.99,Cybersecurity,"Network Security, Linux, Firewalls",Cybersecurity Analyst
81.82,94.54,8.94,Software Development,"Spring Boot, Problem Solving, C++, Git",Software Developer
85.88,74.47,6.31,Web Development,"JavaScript, HTML",Web Developer
90.71,87.98,9.35,Data Science,"Data Analysis, Machine Learning, Python, Pandas",Data Scientist
81.59,61.82,6.99,AI/ML,"Keras, Deep Learning, TensorFlow",Machine Learning Engineer
83.16,71.49,6.27,Web Development,"Bootstrap, React",Web Developer
61.67,85.96,9.34,Web Development,"CSS, React, Node.js, Bootstrap",Web Developer
90.3,65.33,7.99,Data Science,"SQL, Data Analysis, Machine Learning",Data Scientist
64.88,62.85,7.09,AI/ML,"TensorFlow, Deep Learning, Python, Scikit-learn, Keras",Machine Learning Engineer
64.05,64.5,8.38,Data Science,"SQL, NumPy, Data Analysis",Data Scientist
72.2,88.23,7.85,AI/ML,"Keras, TensorFlow, Deep Learning, NLP, Python",Machine Learning Engineer
62.45,83.88,8.6,Design,"Adobe XD, Photoshop, Sketch",UX/UI Designer
73.83,93.02,8.65,Design,"UI/UX, Creativity, Sketch",UX/UI Designer
91.05,78.48,6.27,Data Science,"SQL, Pandas, Machine Learning, NumPy",Data Scientist
65.33,60.84,6.97,Cybersecurity,"Network Security, Firewalls, Wireshark, Linux, Cryptography",Cybersecurity Analyst
71.95,68.26,8.07,Web Development,"CSS, HTML, JavaScript",Web Developer
91.45,69.53,8.38,Software Development,"Spring Boot, Java, Git, C++",Software Developer
63.63,78.35,9.23,Data Science,"SQL, Data Analysis",Data Scientist
63.24,70.91,7.17,Web Development,"Bootstrap, React",Web Developer
88.37,72.33,6.92,Software Development,"C++, OOP, Spring Boot, Git",Software Developer
80.52,72.83,6.62,Design,"Figma, Creativity, Photoshop, Sketch, Adobe XD",UX/UI Designer
92.94,64.74,7.25,AI/ML,"NLP, TensorFlow, Python",Machine Learning Engineer
94.72,66.03,9.01,Cybersecurity,"Wireshark, Firewalls, Network Security, Linux",Cybersecurity Analyst
61.62,70.62,8.14,Design,"UI/UX, Figma, Photoshop, Creativity, Adobe XD",UX/UI Designer
89.49,93.03,8.13,Design,"Sketch, Figma, Adobe XD, Creativity, Photoshop",UX/UI Designer
62.45,80.68,8.65,Data Science,"SQL, Pandas, Machine Learning, Python, NumPy",Data Scientist
76.58,72.81,8.52,Web Development,"CSS, Node.js, HTML, Bootstrap",Web Developer
92.11,89.19,7.28,Data Science,"SQL, NumPy, Data Analysis, Pandas, Machine Learning",Data Scientist
83.56,64.88,7.26,Design,"Sketch, UI/UX, Figma",UX/UI Designer
73.12,89.57,8.31,Cloud Computing,"AWS, Docker, DevOps, Azure, Kubernetes",Cloud Engineer
83.68,74.38,6.2,Cybersecurity,"Wireshark, Network Security, Cryptography",Cybersecurity Analyst
77.52,92.89,9.3,Design,"Adobe XD, Creativity",UX/UI Designer
66.06,92.47,6.47,Cybersecurity,"Cryptography, Wireshark, Network Security, Firewalls",Cybersecurity Analyst
83.44,91.64,8.37,Web Development,"React, Bootstrap, JavaScript",Web Developer
80.28,82.05,6.36,Web Development,"Bootstrap, Node.js, CSS",Web Developer
88.42,65.31,9.26,Web Development,"Node.js, HTML, CSS, JavaScript, React",Web Developer
67.18,74.6,9.25,Software Development,"Git, Problem Solving, C++",Software Developer
78.24,76.52,6.54,AI/ML,"Deep Learning, TensorFlow",Machine Learning Engineer
88.01,64.72,8.69,Cybersecurity,"Cryptography, Linux, Firewalls",Cybersecurity Analyst
83.59,74.28,7.42,Design,"Creativity, Figma",UX/UI Designer
68.88,80.25,7.67,Design,"UI/UX, Sketch, Figma",UX/UI Designer
89.6,74.89,7.57,Web Development,"HTML, CSS, React, JavaScript, Bootstrap",Web Developer
80.47,90.51,7.76,Web Development,"Node.js, JavaScript",Web Developer
87.85,78.36,6.37,Software Development,"Spring Boot, Problem Solving, Java, Git",Software Developer
71.03,86.4,9.12,Cybersecurity,"Ethical Hacking, Firewalls, Linux, Wireshark, Network Security",Cybersecurity Analyst
73.79,84.04,6.97,Web Development,"React, CSS, HTML, Bootstrap, JavaScript",Web Developer
77.39,78.57,9.16,Cybersecurity,"Firewalls, Ethical Hacking, Network Security",Cybersecurity Analyst
80.16,81.44,8.36,Cloud Computing,"Kubernetes, Docker, DevOps",Cloud Engineer
70.33,76.43,8.48,Data Science,"Data Analysis, NumPy, Python, Machine Learning",Data Scientist
91.21,78.46,7.48,Cloud Computing,"DevOps, Kubernetes, Azure, AWS",Cloud Engineer
62.94,65.3,6.01,AI/ML,"NLP, TensorFlow",Machine Learning Engineer
87.64,68.5,6.71,Software Development,"OOP, Spring Boot",Software Developer
85.02,83.68,9.34,Cloud Computing,"Terraform, Azure, DevOps, Docker",Cloud Engineer
69.49,67.79,8.29,Web Development,"Node.js, CSS, JavaScript",Web Developer
74.32,61.35,6.36,Cybersecurity,"Firewalls, Ethical Hacking, Network Security, Wireshark",Cybersecurity Analyst
88.17,92.39,6.47,Cybersecurity,"Firewalls, Wireshark, Cryptography, Linux, Network Security",Cybersecurity Analyst
61.64,75.92,8.07,Design,"Creativity, Photoshop, Adobe XD, Sketch",UX/UI Designer
62.9,83.64,9.13,Cloud Computing,"Kubernetes, AWS, Docker",Cloud Engineer
77.75,82.62,8.66,Cloud Computing,"Kubernetes, Docker, DevOps, Azure",Cloud Engineer
70.39,80.47,6.03,Web Development,"Bootstrap, React",Web Developer
61.23,71.93,7.69,Data Science,"SQL, Python",Data Scientist
80.27,67.41,7.89,Web Development,"JavaScript, CSS, Bootstrap, HTML, Node.js",Web Developer
68.16,60.12,7.04,AI/ML,"Deep Learning, NLP, Scikit-learn, Python",Machine Learning Engineer
71.39,74.67,8.57,Design,"Photoshop, Sketch, Creativity",UX/UI Designer
81.59,78.82,7.78,Design,"Figma, UI/UX",UX/UI Designer
77.29,86.15,9.21,Cybersecurity,"Network Security, Wireshark, Firewalls, Linux, Cryptography",Cybersecurity Analyst
74.16,92.08,9.07,Data Science,"Machine Learning, Data Analysis",Data Scientist
94.81,70.09,8.36,Design,"Photoshop, Creativity",UX/UI Designer
75.11,87.79,7.4,Design,"Photoshop, Sketch",UX/UI Designer
68.48,71.81,7.01,AI/ML,"Scikit-learn, TensorFlow",Machine Learning Engineer
84.05,71.09,9.21,Data Science,"SQL, Pandas",Data Scientist
90.34,90.55,8.91,Web Development,"Node.js, CSS, HTML, JavaScript, Bootstrap",Web Developer
61.65,75.31,8.42,Data Science,"Data Analysis, NumPy, Machine Learning, SQL",Data Scientist
90.41,63.59,9.3,Software Development,"Git, Problem Solving, OOP",Software Developer
89.06,88.19,8.78,AI/ML,"TensorFlow, NLP, Deep Learning",Machine Learning Engineer
87.26,77.79,8.83,Design,"Sketch, Creativity, Photoshop, Figma",UX/UI Designer
62.04,81.38,7.04,Web Development,"Bootstrap, JavaScript",Web Developer
74.78,92.98,7.63,Design,"Figma, Photoshop, Creativity",UX/UI Designer
90.55,62.67,8.49,Design,"Adobe XD, Figma, UI/UX, Photoshop",UX/UI Designer
67.77,63.5,6.29,AI/ML,"Python, TensorFlow, Keras, Scikit-learn, Deep Learning",Machine Learning Engineer
85.64,88.61,6.92,Design,"Sketch, Creativity, Figma",UX/UI Designer
73.58,67.63,7.1,Data Science,"Data Analysis, NumPy, Pandas, SQL",Data Scientist
81.08,83.87,7.35,Web Development,"React, HTML, Bootstrap",Web Developer
90.26,67.68,8.65,Software Development,"Spring Boot, OOP, Java",Software Developer
67.22,84.59,7.78,Cybersecurity,"Network Security, Linux, Ethical Hacking, Cryptography, Firewalls",Cybersecurity Analyst
85.88,90.18,7.65,Data Science,"Data Analysis, Machine Learning, Pandas, SQL, Python",Data Scientist
66.98,74.35,6.36,Cloud Computing,"Kubernetes, DevOps, Terraform, Azure",Cloud Engineer
61.01,62.75,7.54,Data Science,"Data Analysis, Pandas",Data Scientist
94.0,85.05,6.95,Cloud Computing,"AWS, Azure, DevOps",Cloud Engineer
76.5,68.55,7.57,Web Development,"HTML, Node.js, Bootstrap",Web Developer
81.78,79.99,6.21,Cybersecurity,"Ethical Hacking, Firewalls, Cryptography, Linux",Cybersecurity Analyst
80.0,64.99,8.9,Data Science,"Pandas, Data Analysis, SQL, Machine Learning, Python",Data Scientist
94.12,80.86,6.33,Cybersecurity,"Wireshark, Firewalls, Cryptography, Linux",Cybersecurity Analyst
94.93,85.34,7.33,Web Development,"Bootstrap, Node.js, CSS, JavaScript",Web Developer
85.56,76.97,7.5,Data Science,"Pandas, SQL, Machine Learning",Data Scientist
64.48,92.13,6.41,Web Development,"JavaScript, HTML, CSS, React, Bootstrap",Web Developer
73.59,69.38,9.03,AI/ML,"Keras, NLP, Scikit-learn, TensorFlow, Deep Learning",Machine Learning Engineer
62.26,73.23,6.94,Cybersecurity,"Wireshark, Ethical Hacking, Linux",Cybersecurity Analyst
69.21,87.69,6.55,Cybersecurity,"Ethical Hacking, Wireshark",Cybersecurity Analyst
70.49,92.83,6.47,AI/ML,"Deep Learning, Keras, Python, Scikit-learn, NLP",Machine Learning Engineer
81.92,60.4,6.11,Data Science,"NumPy, SQL",Data Scientist
86.63,74.78,8.27,Data Science,"Pandas, NumPy, Machine Learning",Data Scientist
63.04,65.43,7.04,Web Development,"CSS, JavaScript, React, HTML, Node.js",Web Developer
92.04,81.6,7.28,Web Development,"React, JavaScript, Node.js, CSS, Bootstrap",Web Developer
87.15,62.02,7.88,Cloud Computing,"Docker, Kubernetes, Azure, DevOps, Terraform",Cloud Engineer
65.94,69.42,6.45,Cybersecurity,"Firewalls, Ethical Hacking",Cybersecurity Analyst
83.37,75.58,6.99,Design,"Adobe XD, Sketch, Creativity",UX/UI Designer
86.16,65.21,7.89,AI/ML,"NLP, Python, TensorFlow, Deep Learning, Scikit-learn",Machine Learning Engineer
85.62,74.97,6.73,Software Development,"OOP, Spring Boot, Java, Git, Problem Solving",Software Developer
72.28,92.07,7.53,Software Development,"OOP, Problem Solving",Software Developer
74.94,80.92,6.82,Software Development,"C++, Git, Spring Boot, Problem Solving",Software Developer
93.38,84.16,8.29,Web Development,"JavaScript, React, Node.js, CSS, HTML",Web Developer
70.46,87.19,7.03,Web Development,"Node.js, React, HTML",Web Developer
87.19,90.87,7.83,Data Science,"SQL, NumPy, Pandas, Python",Data Scientist
67.8,91.86,6.44,Web Development,"CSS, Bootstrap, React, JavaScript, Node.js",Web Developer
64.05,65.39,7.74,Cybersecurity,"Wireshark, Linux, Firewalls, Network Security, Cryptography",Cybersecurity Analyst
68.76,73.72,6.37,Cloud Computing,"Azure, Docker, DevOps, Kubernetes",Cloud Engineer
72.79,67.96,7.46,Design,"Sketch, Photoshop, UI/UX, Creativity, Figma",UX/UI Designer
65.19,76.87,9.24,Cybersecurity,"Wireshark, Cryptography, Network Security",Cybersecurity Analyst
89.11,66.06,8.36,Data Science,"Pandas, NumPy, Machine Learning, Data Analysis, Python",Data Scientist
70.61,74.9,7.84,AI/ML,"TensorFlow, Python, Deep Learning, Scikit-learn, Keras",Machine Learning Engineer
67.69,74.22,8.63,Web Development,"JavaScript, HTML, React, Node.js, Bootstrap",Web Developer
86.58,85.66,7.47,Data Science,"Machine Learning, SQL",Data Scientist
72.78,83.17,6.14,Software Development,"C++, Problem Solving",Software Developer
63.62,84.92,8.54,Web Development,"HTML, JavaScript, React",Web Developer
80.21,84.29,9.31,Cybersecurity,"Wireshark, Network Security, Linux, Cryptography, Firewalls",Cybersecurity Analyst
87.21,82.52,8.13,Cloud Computing,"Terraform, Docker, Azure",Cloud Engineer
